epoch,train_loss,lr,seconds,val_loss,val_auc,val_unseen_generator_loss,val_unseen_generator_auc,val_unseen_content_loss,val_unseen_content_auc
1,0.678393,9.981e-05,896.06,0.35567,0.971454,0.440977,0.9009,0.429664,0.921374
2,0.419154,9.33e-05,885.45,0.217709,0.980242,0.310832,0.94023,0.292119,0.950108
3,0.339213,7.868e-05,902.74,0.179473,0.986287,0.307597,0.946732,0.307128,0.946266
4,0.273147,5.868e-05,1723.09,0.161224,0.986193,0.404847,0.929175,0.292756,0.952448
5,0.250875,3.706e-05,1337.32,0.178736,0.989609,0.300441,0.949067,0.254261,0.962397
6,0.22295,1.786e-05,756.87,0.149378,0.990261,0.261172,0.96417,0.295251,0.956935
7,0.194539,4.68e-06,758.19,0.158666,0.992042,0.254884,0.965922,0.297261,0.955716
8,0.184541,0.0,760.04,0.180889,0.991863,0.260265,0.966148,0.297296,0.956472
