epoch,train_loss,lr,seconds,val_loss,val_auc,val_unseen_content_loss,val_unseen_content_auc
1,0.424217,9.981e-05,724.5,0.142815,0.988494,0.276992,0.957019
2,0.225422,9.33e-05,1253.42,0.117514,0.991866,0.276521,0.961877
3,0.189939,7.868e-05,863.8,0.099827,0.994154,0.335864,0.953401
4,0.152248,5.868e-05,721.18,0.101882,0.994096,0.263336,0.968524
5,0.122434,3.706e-05,715.01,0.087202,0.995605,0.310563,0.959537
6,0.101765,1.786e-05,704.49,0.082625,0.995784,0.359488,0.960241
7,0.084289,4.68e-06,790.53,0.086768,0.996042,0.360169,0.960239
8,0.076687,0.0,736.86,0.081268,0.996168,0.393208,0.958491
